,Test,Ct_values,Date,sample_id
298,Extraction control,24.97,2024-10-30,1
299,Normalization factor,25.17,2024-10-30,1
300,Target 1,32.95,2024-11-06,1
301,Target 2,34.83,2024-11-06,1
302,Extraction control,25.32,2024-11-06,1
303,Normalization factor,26.44,2024-11-06,1
304,Target 1,34.66,2024-11-13,1
305,Target 2,36.27,2024-11-13,1
306,Extraction control,25.11,2024-11-13,1
307,Normalization factor,24.94,2024-11-13,1
308,Target 1,ND,2024-11-20,1
309,Target 2,ND,2024-11-20,1
310,Extraction control,24.33,2024-11-20,1
311,Normalization factor,25.71,2024-11-20,1
312,Target 1,31.59,2024-11-26,1
313,Target 2,32.91,2024-11-26,1
314,Extraction control,24.48,2024-11-26,1
315,Normalization factor,24.22,2024-11-26,1
316,Target 1,33.8,2024-12-04,1
317,Target 2,34.22,2024-12-04,1
318,Extraction control,24.36,2024-12-04,1
319,Normalization factor,24.48,2024-12-04,1
320,Target 1,36.13,2023-05-31,2
321,Target 2,38.44,2023-05-31,2
322,Extraction control,27.69,2023-05-31,2
323,Normalization factor,21.24,2023-05-31,2
324,Target 1,33.86,2023-06-07,2
325,Target 2,34.17,2023-06-07,2
326,Extraction control,27.34,2023-06-07,2
327,Normalization factor,23.92,2023-06-07,2
328,Target 1,31.18,2023-06-14,2
329,Target 2,32.08,2023-06-14,2
330,Extraction control,27.91,2023-06-14,2
331,Normalization factor,23.41,2023-06-14,2
332,Target 1,37.05,2023-06-21,2
333,Target 2,36.75,2023-06-21,2
334,Extraction control,28.93,2023-06-21,2
335,Normalization factor,23.46,2023-06-21,2
336,Target 1,ND,2023-06-28,2
337,Target 2,36.71,2023-06-28,2
338,Extraction control,27.09,2023-06-28,2
339,Normalization factor,25.17,2023-06-28,2
340,Target 1,37.47,2023-07-06,2
341,Target 2,ND,2023-07-06,2
342,Extraction control,29.13,2023-07-06,2
343,Normalization factor,24.69,2023-07-06,2
344,Target 1,ND,2023-07-12,2
345,Target 2,ND,2023-07-12,2
346,Extraction control,27.48,2023-07-12,2
347,Normalization factor,23.2,2023-07-12,2
348,Target 1,33.51,2023-07-19,2
349,Target 2,33.66,2023-07-19,2
350,Extraction control,26.63,2023-07-19,2
351,Normalization factor,22.98,2023-07-19,2
352,Target 1,36.12,2023-07-26,2
353,Target 2,36.14,2023-07-26,2
354,Extraction control,29.01,2023-07-26,2
355,Normalization factor,26.5,2023-07-26,2
356,Target 1,34.41,2023-08-02,2
357,Target 2,37.65,2023-08-02,2
358,Extraction control,30.06,2023-08-02,2
359,Normalization factor,26.42,2023-08-02,2
360,Target 1,38.18,2023-08-09,2
361,Target 2,ND,2023-08-09,2
362,Extraction control,27.82,2023-08-09,2
363,Normalization factor,23.84,2023-08-09,2
364,Target 1,32.86,2023-08-16,2
365,Target 2,35.3,2023-08-16,2
366,Extraction control,27.29,2023-08-16,2
367,Normalization factor,25.65,2023-08-16,2
368,Target 1,37.58,2023-08-23,2
369,Target 2,ND,2023-08-23,2
370,Extraction control,29.74,2023-08-23,2
371,Normalization factor,24.13,2023-08-23,2
372,Target 1,ND,2023-08-30,2
373,Target 2,ND,2023-08-30,2
374,Extraction control,28.64,2023-08-30,2
375,Normalization factor,23.15,2023-08-30,2
376,Target 1,35.66,2023-09-06,2
377,Target 2,39.13,2023-09-06,2
378,Extraction control,28.45,2023-09-06,2
379,Normalization factor,23.95,2023-09-06,2
380,Target 1,ND,2023-09-13,2
381,Target 2,ND,2023-09-13,2
382,Extraction control,30.42,2023-09-13,2
383,Normalization factor,26.25,2023-09-13,2
384,Target 1,34.03,2023-09-20,2
385,Target 2,35.97,2023-09-20,2
386,Extraction control,27.86,2023-09-20,2
387,Normalization factor,25.34,2023-09-20,2
388,Target 1,34.35,2023-09-27,2
389,Target 2,40.04,2023-09-27,2
390,Extraction control,27.18,2023-09-27,2
391,Normalization factor,23.65,2023-09-27,2
392,Target 1,31.82,2023-10-04,2
393,Target 2,33.98,2023-10-04,2
394,Extraction control,27.5,2023-10-04,2
395,Normalization factor,23.32,2023-10-04,2
396,Target 1,37.72,2023-10-11,2
397,Target 2,39.46,2023-10-11,2
398,Extraction control,25.23,2023-10-11,2
399,Normalization factor,23.26,2023-10-11,2
400,Target 1,36.08,2023-10-18,2
401,Target 2,38.4,2023-10-18,2
402,Extraction control,26.27,2023-10-18,2
403,Normalization factor,23.42,2023-10-18,2
404,Target 1,29.77,2023-10-25,2
405,Target 2,31.22,2023-10-25,2
406,Extraction control,24.23,2023-10-25,2
407,Normalization factor,20.23,2023-10-25,2
408,Target 1,35.38,2023-11-01,2
409,Target 2,36.74,2023-11-01,2
410,Extraction control,26.62,2023-11-01,2
411,Normalization factor,24.19,2023-11-01,2
412,Target 1,33.08,2023-11-07,2
413,Target 2,38.77,2023-11-07,2
414,Extraction control,26.91,2023-11-07,2
415,Normalization factor,23.59,2023-11-07,2
416,Target 1,36.14,2023-11-15,2
417,Target 2,37.2,2023-11-15,2
418,Extraction control,25.53,2023-11-15,2
419,Normalization factor,23.28,2023-11-15,2
420,Target 1,35.6,2023-11-21,2
421,Target 2,36.16,2023-11-21,2
422,Extraction control,25.73,2023-11-21,2
423,Normalization factor,23.21,2023-11-21,2
424,Target 1,33.12,2023-11-29,2
425,Target 2,34.19,2023-11-29,2
426,Extraction control,26.18,2023-11-29,2
427,Normalization factor,24.4,2023-11-29,2
428,Target 1,34.41,2023-12-06,2
429,Target 2,36.63,2023-12-06,2
430,Extraction control,27.52,2023-12-06,2
431,Normalization factor,24.59,2023-12-06,2
432,Target 1,32.77,2023-12-13,2
433,Target 2,34.2,2023-12-13,2
434,Extraction control,27.81,2023-12-13,2
435,Normalization factor,24.52,2023-12-13,2
436,Target 1,33.77,2023-12-20,2
437,Target 2,35.65,2023-12-20,2
438,Extraction control,27.64,2023-12-20,2
439,Normalization factor,25.32,2023-12-20,2
440,Target 1,32.26,2023-12-27,2
441,Target 2,32.99,2023-12-27,2
442,Extraction control,28.34,2023-12-27,2
443,Normalization factor,24.41,2023-12-27,2
444,Target 1,33.49,2024-01-03,2
445,Target 2,34.45,2024-01-03,2
446,Extraction control,26.61,2024-01-03,2
447,Normalization factor,25.04,2024-01-03,2
448,Target 1,35.1,2024-01-10,2
449,Target 2,37.89,2024-01-10,2
450,Extraction control,29.0,2024-01-10,2
451,Normalization factor,27.84,2024-01-10,2
452,Target 1,35.38,2024-01-17,2
453,Target 2,38.12,2024-01-17,2
454,Extraction control,29.14,2024-01-17,2
455,Normalization factor,28.71,2024-01-17,2
456,Target 1,37.56,2024-01-24,2
457,Target 2,37.59,2024-01-24,2
458,Extraction control,26.94,2024-01-24,2
459,Normalization factor,24.42,2024-01-24,2
460,Target 1,32.22,2024-01-31,2
461,Target 2,32.61,2024-01-31,2
462,Extraction control,27.24,2024-01-31,2
463,Normalization factor,24.66,2024-01-31,2
464,Target 1,33.35,2024-02-07,2
465,Target 2,33.49,2024-02-07,2
466,Extraction control,26.94,2024-02-07,2
467,Normalization factor,25.01,2024-02-07,2
468,Target 1,33.2,2024-02-14,2
469,Target 2,34.3,2024-02-14,2
470,Extraction control,27.8,2024-02-14,2
471,Normalization factor,25.77,2024-02-14,2
472,Target 1,34.21,2024-02-21,2
473,Target 2,36.1,2024-02-21,2
474,Extraction control,21.27,2024-02-21,2
475,Normalization factor,23.29,2024-02-21,2
476,Target 1,34.25,2024-02-28,2
477,Target 2,34.97,2024-02-28,2
478,Extraction control,23.83,2024-02-28,2
479,Normalization factor,24.74,2024-02-28,2
480,Target 1,34.89,2024-03-06,2
481,Target 2,37.21,2024-03-06,2
482,Extraction control,24.7,2024-03-06,2
483,Normalization factor,25.17,2024-03-06,2
484,Target 1,33.37,2024-03-13,2
485,Target 2,32.12,2024-03-13,2
486,Extraction control,23.87,2024-03-13,2
487,Normalization factor,25.19,2024-03-13,2
488,Target 1,36.17,2024-03-20,2
489,Target 2,37.3,2024-03-20,2
490,Extraction control,24.33,2024-03-20,2
491,Normalization factor,22.54,2024-03-20,2
492,Target 1,ND,2024-03-27,2
493,Target 2,41.28,2024-03-27,2
494,Extraction control,25.91,2024-03-27,2
495,Normalization factor,24.72,2024-03-27,2
496,Target 1,ND,2024-04-03,2
497,Target 2,ND,2024-04-03,2
498,Extraction control,25.95,2024-04-03,2
499,Normalization factor,26.85,2024-04-03,2
500,Target 1,ND,2024-04-10,2
501,Target 2,39.17,2024-04-10,2
502,Extraction control,24.1,2024-04-10,2
503,Normalization factor,26.29,2024-04-10,2
504,Target 1,ND,2024-04-17,2
505,Target 2,ND,2024-04-17,2
506,Extraction control,23.5,2024-04-17,2
507,Normalization factor,25.02,2024-04-17,2
508,Target 1,34.32,2024-04-24,2
509,Target 2,34.34,2024-04-24,2
510,Extraction control,24.3,2024-04-24,2
511,Normalization factor,25.51,2024-04-24,2
512,Target 1,ND,2024-04-30,2
513,Target 2,ND,2024-04-30,2
514,Extraction control,24.2,2024-04-30,2
515,Normalization factor,25.39,2024-04-30,2
516,Target 1,36.69,2024-05-08,2
517,Target 2,38.78,2024-05-08,2
518,Extraction control,23.67,2024-05-08,2
519,Normalization factor,25.21,2024-05-08,2
520,Target 1,ND,2024-05-15,2
521,Target 2,ND,2024-05-15,2
522,Extraction control,25.62,2024-05-15,2
523,Normalization factor,25.58,2024-05-15,2
524,Target 1,37.54,2024-05-22,2
525,Target 2,37.19,2024-05-22,2
526,Extraction control,26.09,2024-05-22,2
527,Normalization factor,24.0,2024-05-22,2
528,Target 1,34.09,2024-05-29,2
529,Target 2,34.4,2024-05-29,2
530,Extraction control,25.46,2024-05-29,2
531,Normalization factor,25.41,2024-05-29,2
532,Target 1,37.68,2024-06-05,2
533,Target 2,36.62,2024-06-05,2
534,Extraction control,24.05,2024-06-05,2
535,Normalization factor,24.4,2024-06-05,2
536,Target 1,ND,2024-06-12,2
537,Target 2,ND,2024-06-12,2
538,Extraction control,23.65,2024-06-12,2
539,Normalization factor,26.41,2024-06-12,2
540,Target 1,37.55,2024-06-18,2
541,Target 2,ND,2024-06-18,2
542,Extraction control,23.91,2024-06-18,2
543,Normalization factor,25.22,2024-06-18,2
544,Target 1,36.43,2024-06-27,2
545,Target 2,38.23,2024-06-27,2
546,Extraction control,25.98,2024-06-27,2
547,Normalization factor,24.86,2024-06-27,2
548,Target 1,36.33,2024-07-02,2
549,Target 2,39.83,2024-07-02,2
550,Extraction control,26.1,2024-07-02,2
551,Normalization factor,24.95,2024-07-02,2
552,Target 1,33.0,2024-07-10,2
553,Target 2,33.79,2024-07-10,2
554,Extraction control,25.85,2024-07-10,2
555,Normalization factor,25.55,2024-07-10,2
556,Target 1,ND,2024-07-17,2
557,Target 2,37.02,2024-07-17,2
558,Extraction control,25.12,2024-07-17,2
